Typ,Gewichtung,Latitude,Longitude
Tankstelle,3,49.0293241,8.3705756
Tankstelle,3,49.0082239,8.3267979
Tankstelle,3,48.999332,8.428066
Tankstelle,3,48.9981832,8.3495813
Tankstelle,3,49.0202643,8.459433
Tankstelle,3,48.9575254,8.4065436
Tankstelle,3,49.0107868,8.4485883
Tankstelle,3,49.033404,8.4322549
Tankstelle,3,48.9514887,8.3716723
Tankstelle,3,49.0416826,8.3229973
Tankstelle,3,48.9903078,8.3720461
Tankstelle,3,49.0322361,8.3585838
Tankstelle,3,48.9951676,8.3896004
Tankstelle,3,48.9870633,8.3331082
Tankstelle,3,49.0359026,8.4352704
Tankstelle,3,49.0053384,8.4456015
Supermarkt,2,48.9983554,8.3597632
Carsharing,2,49.0662974,8.4701784
Carsharing,2,48.9994724,8.3345031
Supermarkt,2,49.0090043,8.4104347
Supermarkt,2,49.0070405,8.4244357
Supermarkt,2,49.0796002,8.4617685
Supermarkt,2,49.0316393,8.3937585
Carsharing,2,48.9897808,8.3631306
Supermarkt,2,48.9977425,8.4727916
Carsharing,2,49.0085376,8.3458403
Carsharing,2,49.0053437,8.4251035
Carsharing,2,48.9865171,8.376469
Carsharing,2,48.993577,8.4519538
Supermarkt,2,49.0067593,8.4079371
Carsharing,2,49.0105179,8.3789722
Supermarkt,2,48.9513908,8.3833119
Carsharing,2,49.01036,8.427183
Carsharing,2,49.0083476,8.4011054
Carsharing,2,49.035033,8.368337
Carsharing,2,48.966317,8.4806853
Supermarkt,2,48.9660271,8.4038747
Carsharing,2,49.001387,8.4614755
Carsharing,2,48.997194,8.3861588
Carsharing,2,49.0590532,8.521889
Carsharing,2,49.0803318,8.3923101
Supermarkt,2,48.9526246,8.381388
Supermarkt,2,49.0538697,8.3923344
Supermarkt,2,49.0095109,8.4387374
Carsharing,2,49.0058853,8.3837014
Supermarkt,2,49.067793,8.3991973
Carsharing,2,49.0030059,8.3873588
Carsharing,2,49.0074286,8.4942713
Carsharing,2,49.0000366,8.4087685
Carsharing,2,48.9848612,8.3907992
Carsharing,2,48.992917,8.4615
Carsharing,2,49.0210516,8.3712355
Carsharing,2,49.0048536,8.3874366
Carsharing,2,49.006497,8.495739
Supermarkt,2,49.0211142,8.3543115
Carsharing,2,49.0082107,8.4295277
Carsharing,2,49.0150464,8.3576395
Carsharing,2,48.9982576,8.3419725
Carsharing,2,49.0121104,8.3849848
Carsharing,2,48.9931436,8.3896681
Carsharing,2,49.0476781,8.4716003
Carsharing,2,49.0340033,8.4439983
Supermarkt,2,49.0117426,8.3613534
Carsharing,2,49.0146092,8.4939341
Carsharing,2,49.0855619,8.4022862
Carsharing,2,49.0119431,8.4467657
Carsharing,2,48.9743163,8.4046212
Supermarkt,2,48.9978647,8.3480052
Carsharing,2,49.0050903,8.3681769
Carsharing,2,48.986885,8.390971
Carsharing,2,49.0044229,8.4238172
Supermarkt,2,48.9932753,8.3852088
Carsharing,2,49.0003755,8.4048283
Carsharing,2,49.0657396,8.4648103
Supermarkt,2,49.0078575,8.3771844
Carsharing,2,48.9944555,8.4585112
