Typ,Gewichtung,Latitude,Longitude,Nennleistung [kW]
Tankstelle,3,49.0293241,8.3705756,150
Tankstelle,3,49.0082239,8.3267979,300
Tankstelle,3,48.999332,8.428066,250
Tankstelle,3,48.9981832,8.3495813,150
Tankstelle,3,49.0202643,8.459433,150
Tankstelle,3,48.9575254,8.4065436,150
Tankstelle,3,49.0107868,8.4485883,150
Tankstelle,3,49.033404,8.4322549,250
Tankstelle,3,48.9514887,8.3716723,250
Tankstelle,3,49.0416826,8.3229973,250
Tankstelle,3,48.9903078,8.3720461,150
Tankstelle,3,49.0322361,8.3585838,300
Tankstelle,3,48.9951676,8.3896004,250
Tankstelle,3,48.9870633,8.3331082,150
Tankstelle,3,49.0359026,8.4352704,150
Tankstelle,3,49.0053384,8.4456015,150
Supermarkt,2,48.9983554,8.3597632,150
Carsharing,2,49.0662974,8.4701784,150
Carsharing,2,48.9994724,8.3345031,150
Supermarkt,2,49.0090043,8.4104347,150
Supermarkt,2,49.0070405,8.4244357,250
Supermarkt,2,49.0796002,8.4617685,150
Supermarkt,2,49.0316393,8.3937585,150
Carsharing,2,48.9897808,8.3631306,150
Supermarkt,2,48.9977425,8.4727916,150
Carsharing,2,49.0085376,8.3458403,250
Carsharing,2,49.0053437,8.4251035,150
Carsharing,2,48.9865171,8.376469,150
Carsharing,2,48.993577,8.4519538,150
Supermarkt,2,49.0067593,8.4079371,150
Carsharing,2,49.0105179,8.3789722,250
Supermarkt,2,48.9513908,8.3833119,150
Carsharing,2,49.01036,8.427183,150
Carsharing,2,49.0083476,8.4011054,300
Carsharing,2,49.035033,8.368337,300
Carsharing,2,48.966317,8.4806853,250
Supermarkt,2,48.9660271,8.4038747,150
Carsharing,2,49.001387,8.4614755,150
Carsharing,2,48.997194,8.3861588,250
Carsharing,2,49.0590532,8.521889,150
Carsharing,2,49.0803318,8.3923101,150
Supermarkt,2,48.9526246,8.381388,150
Supermarkt,2,49.0538697,8.3923344,150
Supermarkt,2,49.0095109,8.4387374,300
Carsharing,2,49.0058853,8.3837014,150
Supermarkt,2,49.067793,8.3991973,250
Carsharing,2,49.0030059,8.3873588,150
Carsharing,2,49.0074286,8.4942713,150
Carsharing,2,49.0000366,8.4087685,150
Carsharing,2,48.9848612,8.3907992,150
Carsharing,2,48.992917,8.4615,300
Carsharing,2,49.0210516,8.3712355,250
Carsharing,2,49.0048536,8.3874366,300
Carsharing,2,49.006497,8.495739,250
Supermarkt,2,49.0211142,8.3543115,150
Carsharing,2,49.0082107,8.4295277,300
Carsharing,2,49.0150464,8.3576395,150
Carsharing,2,48.9982576,8.3419725,150
Carsharing,2,49.0121104,8.3849848,150
Carsharing,2,48.9931436,8.3896681,150
Carsharing,2,49.0476781,8.4716003,150
Carsharing,2,49.0340033,8.4439983,150
Supermarkt,2,49.0117426,8.3613534,250
Carsharing,2,49.0146092,8.4939341,150
Carsharing,2,49.0855619,8.4022862,150
Carsharing,2,49.0119431,8.4467657,150
Carsharing,2,48.9743163,8.4046212,150
Supermarkt,2,48.9978647,8.3480052,250
Carsharing,2,49.0050903,8.3681769,150
Carsharing,2,48.986885,8.390971,300
Carsharing,2,49.0044229,8.4238172,250
Supermarkt,2,48.9932753,8.3852088,150
Carsharing,2,49.0003755,8.4048283,150
Carsharing,2,49.0657396,8.4648103,250
Supermarkt,2,49.0078575,8.3771844,250
Carsharing,2,48.9944555,8.4585112,250
Carsharing,2,49.0030003,8.3361016,250
Supermarkt,2,49.0050924,8.3943539,150
Carsharing,2,48.9953141,8.3900428,150
Carsharing,2,49.004498,8.3832226,150
Carsharing,2,49.0513835,8.3863233,250
Carsharing,2,49.031114,8.3927306,250
Carsharing,2,48.9973056,8.462302,150
Carsharing,2,49.0059261,8.4935822,150
Carsharing,2,48.9929993,8.4028211,150
Supermarkt,2,49.0091438,8.377309,150
Carsharing,2,48.9930815,8.4028328,250
Supermarkt,2,49.0319468,8.3938771,250
Supermarkt,2,49.0117356,8.3590643,250
Supermarkt,2,49.0589603,8.4677266,150
Carsharing,2,49.0140072,8.4199732,150
Carsharing,2,48.988221,8.398091,250
Supermarkt,2,49.0199545,8.3852197,250
Carsharing,2,48.999838,8.4726933,150
Carsharing,2,48.996452,8.334001,250
Carsharing,2,49.0088159,8.4078569,150
Carsharing,2,49.051816,8.5302969,150
Carsharing,2,48.9999726,8.4152377,150
Carsharing,2,48.998416,8.4041298,150
Supermarkt,2,48.9999112,8.3387393,150
