Betreiber,Anzeigename,Status,Art der Ladeeinrichtung,Anzahl Ladepunkte,Nennleistung [kW],Inbetriebnahmedatum,Straße,Hausnummer,PLZ,Ort,Volladresse,location,Latitude,Longitude
EnBW mobility+ AG und Co.KG,,In Betrieb,Normalladeeinrichtung,2,30.0,28.11.2019,Durlacher Allee,93,76131,Karlsruhe,"Durlacher Allee 93, 76131 Karlsruhe, Deutschland","Durlacher Allee 93, 76131 Karlsruhe, Deutschland",49.005812,8.435755
EnBW mobility+ AG und Co.KG,,In Betrieb,Normalladeeinrichtung,2,30.0,03.12.2019,Rintheimer Querallee,2,76131,Karlsruhe,"Rintheimer Querallee 2, 76131 Karlsruhe, Deutschland","Rintheimer Querallee 2, 76131 Karlsruhe, Deutschland",49.021248,8.431227
EnBW mobility+ AG und Co.KG,,In Betrieb,Schnellladeeinrichtung,2,150.0,01.01.2021,Emmy-Noether-Straße,11,76131,Karlsruhe,"Emmy-Noether-Straße 11, 76131 Karlsruhe, Deutschland","Emmy-Noether-Straße 11, 76131 Karlsruhe, Deutschland",49.020088,8.439821
EnBW mobility+ AG und Co.KG,,In Betrieb,Normalladeeinrichtung,2,30.0,02.12.2020,Englerstr.,12,76131,Karlsruhe,"Englerstr. 12, 76131 Karlsruhe, Deutschland","Englerstr. 12, 76131 Karlsruhe, Deutschland",49.01062,8.41097
EnBW mobility+ AG und Co.KG,,In Betrieb,Normalladeeinrichtung,2,30.0,21.12.2020,Am Sportpark,1,76131,Karlsruhe,"Am Sportpark 1, 76131 Karlsruhe, Deutschland","Am Sportpark 1, 76131 Karlsruhe, Deutschland",49.026353,8.445739
EnBW mobility+ AG und Co.KG,,In Betrieb,Normalladeeinrichtung,2,30.0,20.12.2020,Am Sportpark,1,76131,Karlsruhe,"Am Sportpark 1, 76131 Karlsruhe, Deutschland","Am Sportpark 1, 76131 Karlsruhe, Deutschland",49.027023,8.445317
EnBW mobility+ AG und Co.KG,,In Betrieb,Schnellladeeinrichtung,2,150.0,28.12.2020,Emmy-Noether-Str.,11,76131,Karlsruhe,"Emmy-Noether-Str. 11, 76131 Karlsruhe, Deutschland","Emmy-Noether-Str. 11, 76131 Karlsruhe, Deutschland",49.020119,8.439883
EnBW mobility+ AG und Co.KG,,In Betrieb,Normalladeeinrichtung,2,30.0,10.07.2019,Durlacher Allee,93,76131,Karlsruhe,"Durlacher Allee 93, 76131 Karlsruhe, Deutschland","Durlacher Allee 93, 76131 Karlsruhe, Deutschland",49.005818,8.43571
Fraunhofer-Gesellschaft e. V.,,In Betrieb,Normalladeeinrichtung,1,22.0,21.08.2023,Fraunhoferstraße,1,76131,Karlsruhe,"Fraunhoferstraße 1, 76131 Karlsruhe, Deutschland","Fraunhoferstraße 1, 76131 Karlsruhe, Deutschland",49.014934,8.426976
Fraunhofer-Gesellschaft e. V.,,In Betrieb,Normalladeeinrichtung,1,22.0,21.08.2023,Fraunhoferstraße,1,76131,Karlsruhe,"Fraunhoferstraße 1, 76131 Karlsruhe, Deutschland","Fraunhoferstraße 1, 76131 Karlsruhe, Deutschland",49.014934,8.426976
Fraunhofer-Gesellschaft e. V.,,In Betrieb,Normalladeeinrichtung,1,22.0,21.08.2023,Rintheimer Querallee,2b,76131,Karlsruhe,"Rintheimer Querallee 2b, 76131 Karlsruhe, Deutschland","Rintheimer Querallee 2b, 76131 Karlsruhe, Deutschland",49.022177,8.434037
Fraunhofer-Gesellschaft e. V.,,In Betrieb,Normalladeeinrichtung,1,22.0,21.08.2023,Straße am Forum,5,76131,Karlsruhe,"Straße am Forum 5, 76131 Karlsruhe, Deutschland","Straße am Forum 5, 76131 Karlsruhe, Deutschland",49.012071,8.417861
