Betreiber,Anzeigename,Status,Art der Ladeeinrichtung,Anzahl Ladepunkte,Nennleistung [kW],Inbetriebnahmedatum,Straße,Hausnummer,PLZ,Ort,Volladresse,location,Latitude,Longitude,Stadtteil,Begründung
,AC-0001,Geplant 2030,Normalladeeinrichtung,4,22,,,,,Karlsruhe,,,49.045468766666666,8.382053233333332,Neureut,AC score=100; ist_ac=3
,AC-0002,Geplant 2030,Normalladeeinrichtung,4,22,,,,,Karlsruhe,,,49.002129249999996,8.41592695,Südstadt,AC score=100; ist_ac=18
,AC-0003,Geplant 2030,Normalladeeinrichtung,4,22,,,,,Karlsruhe,,,49.00040165,8.41037565,Südstadt,AC score=100; ist_ac=18
,AC-0004,Geplant 2030,Normalladeeinrichtung,4,22,,,,,Karlsruhe,,,49.044323575,8.390606024999999,Neureut,AC score=100; ist_ac=3
,AC-0005,Geplant 2030,Normalladeeinrichtung,4,22,,,,,Karlsruhe,,,48.965977249999995,8.403963749999999,Rüppurr,AC score=85; ist_ac=4
,AC-0006,Geplant 2030,Normalladeeinrichtung,4,22,,,,,Karlsruhe,,,48.9716125,8.4049145,Rüppurr,AC score=85; ist_ac=4
,AC-0007,Geplant 2030,Normalladeeinrichtung,4,22,,,,,Karlsruhe,,,48.9727394,8.402949999999999,Rüppurr,AC score=85; ist_ac=4
,AC-0008,Geplant 2030,Normalladeeinrichtung,4,22,,,,,Karlsruhe,,,49.03568173333334,8.4352251,Waldstadt,AC score=85; ist_ac=6
,AC-0009,Geplant 2030,Normalladeeinrichtung,4,22,,,,,Karlsruhe,,,49.0334614,8.4333163,Waldstadt,AC score=85; ist_ac=6
,AC-0010,Geplant 2030,Normalladeeinrichtung,4,22,,,,,Karlsruhe,,,48.985227357142854,8.363053257142857,Oberreut,AC score=85; ist_ac=0
,AC-0011,Geplant 2030,Normalladeeinrichtung,4,22,,,,,Karlsruhe,,,48.946950566666665,8.4781989,Palmbach,AC score=85; ist_ac=4
,AC-0012,Geplant 2030,Normalladeeinrichtung,4,22,,,,,Karlsruhe,,,49.004037679999996,8.41965366,Südstadt,AC score=85; ist_ac=18
,AC-0013,Geplant 2030,Normalladeeinrichtung,4,22,,,,,Karlsruhe,,,49.0000309,8.338706649999999,Daxlanden,AC score=85; ist_ac=0
,AC-0014,Geplant 2030,Normalladeeinrichtung,4,22,,,,,Karlsruhe,,,48.9863447,8.362899666666666,Oberreut,AC score=85; ist_ac=0
,AC-0015,Geplant 2030,Normalladeeinrichtung,4,22,,,,,Karlsruhe,,,48.98407534766355,8.367707795327103,Oberreut,AC score=85; ist_ac=0
,AC-0016,Geplant 2030,Normalladeeinrichtung,4,22,,,,,Karlsruhe,,,49.007115799999994,8.4234714,Oststadt,AC score=85; ist_ac=14
,AC-0017,Geplant 2030,Normalladeeinrichtung,4,22,,,,,Karlsruhe,,,49.00703695,8.424760225,Oststadt,AC score=85; ist_ac=14
,AC-0018,Geplant 2030,Normalladeeinrichtung,4,22,,,,,Karlsruhe,,,48.99918240909091,8.393941109090909,Südweststadt,AC score=85; ist_ac=12
,AC-0019,Geplant 2030,Normalladeeinrichtung,4,22,,,,,Karlsruhe,,,49.00635926666667,8.360698433333333,Grünwinkel,AC score=85; ist_ac=16
,AC-0020,Geplant 2030,Normalladeeinrichtung,4,22,,,,,Karlsruhe,,,49.0200114,8.385096749999999,Nordstadt,AC score=85; ist_ac=7
,AC-0021,Geplant 2030,Normalladeeinrichtung,4,22,,,,,Karlsruhe,,,49.00138735,8.39450635,Südweststadt,AC score=85; ist_ac=12
,AC-0022,Geplant 2030,Normalladeeinrichtung,4,22,,,,,Karlsruhe,,,49.01457350526315,8.441757607894736,Rintheim,AC score=85; ist_ac=10
,AC-0023,Geplant 2030,Normalladeeinrichtung,4,22,,,,,Karlsruhe,,,49.02983766666667,8.375469233333332,Nordweststadt,AC score=85; ist_ac=18
,AC-0024,Geplant 2030,Normalladeeinrichtung,4,22,,,,,Karlsruhe,,,49.0273862,8.3573794,Nordweststadt,AC score=85; ist_ac=18
,AC-0025,Geplant 2030,Normalladeeinrichtung,4,22,,,,,Karlsruhe,,,49.00505523333334,8.4790524,Durlach,AC score=85; ist_ac=59
